レースコード,レース日,predict_result_1,predict_result_2,predict_result_3,predict_result_4,predict_result_5,predict_result_6,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6,result
20240611GMG03,20240611,1,1,0,0,0,0,7.3,2.8,4.7,10.1,13.7,18.1,35.2,8.6,15.5,21.8,46.1,54.6,144.7,24.9,47.8,71.3,73.3,281.8,184.6,67.7,1=2=4
20240611GMG04,20240611,1,0,0,1,1,0,9.8,7.5,11.1,44.2,4.9,7.9,52.8,4.5,24.4,38.6,24.7,32.0,144.4,13.1,50.3,68.7,11.5,73.4,78.7,18.5,1=2=3
20240611GMG05,20240611,1,1,1,1,0,1,6.1,9.7,26.6,4.3,9.7,26.4,5.6,32.2,11.7,27.8,21.6,66.5,14.3,72.4,17.7,64.4,54.9,18.4,52.1,38.9,2=3=6
20240611GMG06,20240611,1,0,0,0,1,0,3.0,12.8,6.1,12.5,11.8,6.0,10.5,26.0,43.3,20.5,57.6,27.0,19.2,72.3,62.4,34.3,81.9,71.8,37.0,58.2,1=2=6
20240611GMG07,20240611,1,0,0,1,1,0,11.2,10.8,3.7,38.1,12.9,3.8,41.1,5.1,32.3,12.3,79.0,35.4,168.7,31.0,117.2,69.1,29.6,139.2,65.5,37.3,1=3=5
20240611GMG08,20240611,1,1,0,0,0,0,12.9,6.8,12.5,19.3,10.0,14.9,22.6,5.6,6.5,12.9,50.9,64.9,85.2,20.3,21.7,37.9,30.6,31.1,62.6,8.8,1=2=4
20240611GMG09,20240611,1,1,0,1,0,0,7.1,2.7,12.6,38.7,5.3,18.9,53.5,7.3,16.0,48.6,18.7,46.2,151.1,19.5,39.2,114.1,38.9,82.2,127.0,33.7,1=2=4
20240611GMG10,20240611,1,0,1,0,0,0,13.3,15.6,24.8,7.6,7.5,18.3,2.6,22.2,6.0,13.6,92.7,112.4,48.9,112.4,35.5,82.1,97.9,29.1,59.6,52.1,1=3=6
20240611GMG11,20240611,1,1,1,1,0,0,8.4,7.9,18.4,12.4,5.1,14.9,8.6,12.8,5.7,27.0,33.7,63.1,40.2,49.0,22.1,54.2,49.3,20.6,69.7,20.2,1=2=4
20240611GMG12,20240611,1,1,1,0,0,0,3.9,3.0,6.5,10.3,7.3,13.6,24.9,13.7,15.2,32.1,68.9,121.5,192.0,110.4,98.2,196.4,140.8,165.6,286.3,128.0,1=2=3
20240611HMN01,20240611,1,1,1,1,0,0,3.1,2.9,25.9,7.6,8.0,46.7,15.8,26.3,17.1,99.0,21.5,153.1,29.0,129.5,21.3,240.6,120.3,54.3,153.1,88.6,1=2=6
20240611HMN02,20240611,1,0,0,1,0,1,12.3,17.8,6.5,9.4,31.3,6.7,13.0,13.2,13.2,4.6,90.5,60.9,44.6,71.2,53.1,19.5,81.7,77.9,12.2,12.9,1=3=5
20240611HMN03,20240611,1,1,1,0,0,1,6.4,12.8,19.9,9.4,10.2,8.0,4.9,27.7,18.2,11.8,46.6,29.1,11.0,79.4,58.7,38.1,55.4,33.4,15.3,34.1,1=3=6
20240611HMN04,20240611,1,1,0,0,0,0,2.6,14.3,5.8,21.6,13.1,3.8,14.1,19.1,42.9,15.8,83.9,36.4,96.5,175.5,120.6,107.2,91.9,160.8,48.2,137.8,1=5=6
20240611HMN05,20240611,1,1,1,0,0,0,5.5,15.3,21.6,18.7,7.6,6.0,6.0,33.3,17.9,22.1,25.4,36.2,27.9,102.8,98.8,111.7,20.7,9.3,14.4,26.2,2=3=4
20240611HMN06,20240611,1,0,1,0,0,0,4.2,15.1,58.3,23.0,3.3,17.2,3.2,62.8,18.3,54.4,40.8,81.7,24.0,408.5,68.0,136.1,45.3,15.8,62.8,86.0,1=3=6
20240611HMN07,20240611,1,1,0,0,0,1,18.0,7.4,10.0,3.0,33.5,28.2,9.2,26.9,5.9,5.4,115.8,115.8,55.1,165.4,29.6,33.5,330.8,55.1,77.2,51.4,1=2=6
20240611HMN08,20240611,1,0,1,1,0,0,21.2,17.1,65.4,84.1,1.9,8.8,15.6,4.3,6.2,47.7,93.0,147.2,135.9,160.6,196.3,294.5,38.4,76.8,196.3,80.3,1=3=4
20240611HMN09,20240611,1,0,1,0,0,0,4.2,15.4,17.9,37.2,4.8,6.8,16.1,23.3,38.1,35.5,14.2,10.9,34.0,38.1,74.5,47.4,12.4,25.6,20.8,57.9,4=5=6
20240611HMN10,20240611,1,0,0,1,1,0,11.1,3.1,5.0,19.2,15.0,15.3,36.5,3.8,22.8,19.4,70.7,182.7,121.8,24.6,78.3,49.8,109.6,274.1,64.5,28.4,1=4=5
20240611HMN11,20240611,1,1,1,1,0,0,2.8,3.7,14.5,38.1,4.7,12.9,30.9,12.7,31.4,67.1,23.7,67.1,121.6,30.4,108.1,389.4,33.0,69.5,162.2,47.4,1=2=4
20240611HMN12,20240611,1,1,0,1,0,0,6.9,4.8,5.5,40.8,5.7,6.3,46.8,3.9,26.6,19.9,108.6,94.7,164.9,67.4,148.4,164.9,75.4,212.0,212.0,85.6,1=3=4
20240611KJM01,20240611,1,1,0,0,0,0,4.5,11.3,10.0,20.6,5.5,4.3,9.4,9.5,20.8,11.2,100.7,90.1,107.0,42.8,142.7,100.7,63.4,114.2,77.8,71.3,1=5=6
20240611KJM02,20240611,1,1,1,0,0,1,6.7,3.7,11.2,3.7,13.9,19.1,17.6,30.9,9.1,14.1,83.4,147.5,59.9,73.7,27.0,34.8,106.5,79.9,91.3,49.1,1=4=5
20240611KJM03,20240611,1,1,0,0,1,0,13.2,7.0,6.6,24.8,11.8,8.4,29.1,3.4,12.5,8.4,76.5,76.5,148.9,29.1,99.2,42.5,45.4,103.0,59.5,21.6,1=2=5
20240611KJM04,20240611,1,0,1,1,0,1,7.3,12.0,39.3,22.8,2.6,19.1,7.7,24.6,10.8,48.0,20.6,80.9,45.6,57.7,55.5,149.0,16.2,10.1,49.6,33.7,1=2=4
20240611KJM05,20240611,1,0,1,0,1,1,15.6,11.1,5.8,15.1,10.8,9.8,21.2,6.4,12.3,6.7,34.8,40.1,72.2,24.9,52.5,26.2,29.7,51.6,34.8,13.8,1=5=6
20240611KJM06,20240611,1,1,1,0,0,0,2.1,7.1,9.3,37.7,7.8,7.7,11.1,25.4,101.0,42.2,28.8,23.5,88.4,74.4,128.6,113.1,53.3,166.4,88.4,83.2,1=2=3
20240611KJM07,20240611,1,1,1,0,1,0,4.7,11.2,6.6,20.6,10.7,4.4,16.1,12.9,30.5,17.7,27.1,21.4,65.2,38.1,109.4,49.8,19.6,58.5,24.7,39.4,1=4=5
20240611KJM08,20240611,1,1,0,0,1,0,5.5,8.3,10.8,21.0,7.6,4.9,11.0,8.0,13.9,13.9,59.7,74.4,95.9,46.1,71.5,98.5,35.4,45.5,35.7,24.6,1=3=4
20240611KJM09,20240611,1,0,1,0,0,0,4.5,12.0,12.9,22.1,7.8,3.8,5.0,28.3,33.6,19.8,56.1,32.0,52.6,74.8,187.1,120.2,28.7,51.0,20.5,93.5,1=3=4
20240611KJM10,20240611,1,1,0,0,1,0,4.6,6.0,3.4,12.1,12.7,8.8,23.7,10.4,28.0,14.0,49.6,57.5,121.4,38.3,104.0,46.5,80.9,168.1,128.5,66.2,1=2=6
20240611KJM11,20240611,1,1,0,0,0,0,3.8,3.5,7.6,6.5,10.5,15.7,18.3,19.5,20.4,41.8,31.1,65.6,55.1,41.1,38.5,73.5,83.7,121.3,161.8,63.8,1=2=3
20240611KJM12,20240611,1,0,0,1,1,0,6.8,4.5,5.1,20.2,7.5,9.3,28.2,6.5,18.1,20.1,36.5,54.5,135.6,29.2,52.1,76.3,45.5,91.1,100.0,37.0,1=2=4
20240611KRY01,20240611,1,1,1,0,0,0,2.1,9.4,46.8,13.2,7.6,37.2,10.1,53.2,19.4,118.1,12.2,53.2,10.6,61.7,27.7,123.4,77.6,21.7,113.1,54.3,1=2=3
20240611KRY02,20240611,1,1,0,0,1,0,5.4,24.2,6.2,18.9,21.7,4.2,24.6,61.8,89.8,21.0,36.1,5.1,23.0,58.0,77.3,15.7,33.1,67.9,14.5,36.6,1=2=3
20240611KRY03,20240611,1,1,1,1,0,0,5.2,5.5,17.7,21.6,7.1,15.2,51.9,23.4,37.2,79.7,5.9,14.4,27.2,10.8,15.6,62.0,21.8,49.6,55.8,42.9,1=2=3
20240611KRY04,20240611,1,1,0,0,1,0,13.9,12.5,3.0,81.9,23.8,8.3,144.9,7.7,99.1,19.6,24.4,9.7,72.4,6.9,85.6,18.4,16.9,144.9,43.8,36.9,1=4=5
20240611KRY05,20240611,1,1,0,1,0,0,3.8,3.7,35.0,20.7,6.6,28.7,20.5,46.7,31.1,90.2,5.3,33.2,19.8,36.0,18.5,126.3,45.9,30.0,157.9,78.9,1=2=3
20240611KRY06,20240611,1,0,1,0,0,0,2.9,36.0,15.0,35.3,9.6,2.7,6.9,37.6,86.0,8.2,101.6,53.2,72.9,239.5,95.8,223.6,93.1,159.7,68.4,129.0,1=2=3
20240611KRY07,20240611,1,0,1,0,0,0,3.0,15.9,56.4,27.7,3.3,15.6,11.4,56.4,40.3,104.3,6.0,23.0,29.4,64.8,85.7,208.6,16.4,26.8,85.7,165.5,1=4=6
20240611KRY08,20240611,1,0,0,0,0,0,7.8,21.0,4.3,21.0,12.7,3.0,12.1,6.4,24.1,9.7,76.6,64.3,157.9,144.8,148.9,127.1,118.4,113.3,91.4,89.8,1=5=6
20240611KRY09,20240611,1,1,0,0,0,0,4.3,4.0,5.3,73.4,8.1,9.4,90.3,5.8,40.3,77.4,44.2,23.0,234.3,19.7,95.2,180.6,31.9,125.6,157.6,44.4,1=5=6
20240611KRY10,20240611,1,1,0,0,1,0,8.1,20.0,5.4,30.2,18.5,4.6,27.6,18.8,40.8,9.8,35.1,10.8,24.4,28.8,54.6,11.5,30.0,55.0,13.8,27.4,1=2=5
20240611KRY11,20240611,1,1,1,0,0,0,2.3,7.9,6.3,19.2,9.3,5.7,21.5,23.4,49.5,25.9,48.1,28.8,68.9,77.4,145.1,91.3,52.4,131.1,99.1,76.7,1=2=5
20240611KRY12,20240611,1,1,1,1,0,0,4.5,3.7,7.5,18.7,6.8,10.8,23.3,10.3,18.7,26.3,33.1,49.3,98.7,38.4,46.1,80.8,46.2,64.0,85.9,49.9,1=2=5
20240611MKN01,20240611,1,0,1,0,1,0,5.1,14.1,5.9,94.5,6.4,2.5,38.1,7.1,124.2,49.5,53.2,35.2,192.0,45.5,150.8,137.7,27.4,198.0,81.2,90.5,1=2=3
20240611MKN02,20240611,1,1,0,0,1,0,5.1,10.7,4.1,21.6,11.5,4.4,22.7,10.7,45.2,14.3,52.1,20.7,104.3,37.6,110.6,56.5,29.4,135.6,33.6,58.3,1=2=5
20240611MKN03,20240611,1,0,0,1,0,1,16.3,6.5,9.3,4.1,30.4,72.9,35.4,10.3,4.6,7.6,153.2,88.8,66.6,40.0,14.6,14.1,278.5,180.2,117.8,23.3,1=5=6
20240611MKN04,20240611,1,0,1,1,0,1,18.8,14.4,26.1,17.1,4.4,20.1,5.3,13.2,3.4,17.5,70.2,141.7,97.7,84.0,43.2,131.4,56.4,13.6,63.9,20.1,1=2=5
20240611MKN05,20240611,1,1,0,0,1,0,18.3,6.7,4.1,65.1,18.1,10.6,69.5,2.4,53.7,31.4,49.6,53.2,168.2,11.3,124.1,98.4,24.0,149.0,77.8,31.2,1=4=5
20240611MKN06,20240611,1,1,0,1,0,1,10.7,6.8,32.1,9.7,6.4,31.3,8.7,25.1,5.6,27.7,16.9,68.4,22.5,48.6,11.3,64.9,47.3,12.9,58.8,19.4,1=2=4
20240611MKN07,20240611,1,1,0,1,0,0,7.6,2.4,13.6,87.9,6.2,24.2,96.3,8.9,77.2,167.4,8.0,27.9,72.5,10.3,63.3,127.8,20.6,76.4,175.8,83.7,1=2=5
20240611MKN08,20240611,1,1,1,0,1,0,5.3,27.6,3.9,11.7,36.3,4.9,15.4,35.9,59.5,8.2,72.3,11.8,34.7,52.8,88.5,15.3,50.2,112.5,18.5,92.0,3=4=5
20240611MKN09,20240611,1,0,1,1,0,0,7.9,3.5,19.1,11.4,6.0,29.6,21.7,11.2,6.9,65.1,19.9,58.8,46.6,25.5,17.4,81.5,47.0,26.1,85.7,35.0,1=2=4
20240611MKN10,20240611,1,1,0,0,0,0,2.5,4.3,9.4,7.2,8.6,18.7,16.4,35.4,27.8,43.2,28.7,43.8,56.5,82.4,83.5,117.3,88.4,96.8,81.3,135.6,1=2=3
20240611MKN11,20240611,1,0,1,0,0,0,2.9,7.5,5.6,14.1,11.5,6.8,15.3,23.9,42.8,19.6,38.2,24.0,52.5,62.3,102.6,64.5,54.0,77.8,37.3,96.1,1=5=6
20240611MKN12,20240611,1,1,1,0,0,0,2.1,7.6,5.9,42.5,11.5,8.3,58.4,27.5,83.9,92.4,15.5,11.7,72.4,33.3,78.1,106.6,38.7,167.8,153.5,164.7,1=2=3
20240611MYJ01,20240611,1,0,1,0,0,0,4.5,10.4,13.1,40.7,5.2,6.0,27.8,13.8,41.4,42.1,14.7,14.8,75.2,28.3,84.7,93.3,8.6,32.3,33.9,41.2,1=2=3
20240611MYJ02,20240611,1,1,0,0,1,0,7.1,5.5,5.3,4.7,22.3,21.0,21.5,20.6,18.0,13.9,42.5,39.2,23.9,31.4,21.1,14.3,79.3,108.9,90.8,37.4,2=4=5
20240611MYJ03,20240611,1,0,1,0,0,1,4.5,13.9,22.2,20.7,4.5,8.3,6.4,26.0,17.4,33.5,23.7,32.6,27.3,62.7,65.3,93.7,23.7,14.6,22.8,46.0,1=3=6
20240611MYJ04,20240611,1,1,1,0,1,0,5.3,11.6,5.7,37.3,8.8,4.1,35.3,11.7,46.7,30.2,30.8,9.3,81.8,23.7,105.5,54.2,16.0,99.1,38.0,60.5,2=4=5
20240611MYJ05,20240611,1,0,1,0,1,0,4.4,10.1,8.4,37.7,5.0,4.2,20.2,11.9,38.1,32.5,30.1,17.3,67.3,42.5,107.7,96.1,19.6,87.8,51.4,77.6,1=3=4
20240611MYJ06,20240611,1,1,0,1,0,0,3.8,5.0,10.1,19.2,5.2,11.2,27.3,11.9,19.5,44.8,18.7,36.6,86.5,23.8,45.1,96.6,27.1,65.8,106.3,46.2,1=5=6
20240611MYJ07,20240611,1,0,1,1,0,0,6.4,5.1,13.5,28.8,5.6,11.3,22.6,7.1,13.4,27.2,18.3,36.1,69.3,17.8,36.1,71.7,26.0,38.2,65.9,24.4,1=4=6
20240611MYJ08,20240611,1,1,1,0,0,0,3.8,14.2,27.6,21.5,4.2,8.6,6.0,31.6,24.5,48.2,18.0,30.8,22.1,53.2,61.5,88.6,26.8,18.2,36.4,68.1,1=3=4
20240611MYJ09,20240611,1,0,0,1,0,0,12.4,3.6,13.4,26.0,5.4,20.4,27.5,4.8,8.8,30.9,22.5,75.4,138.7,20.7,33.7,134.4,43.4,71.7,148.3,19.0,1=2=4
20240611MYJ10,20240611,1,1,0,1,0,0,2.8,3.4,12.7,10.3,9.9,23.6,31.8,32.2,35.9,52.7,13.2,36.9,25.3,38.9,26.0,61.3,64.3,72.2,156.5,107.9,1=3=4
20240611MYJ11,20240611,1,1,1,1,0,0,7.0,5.5,4.9,15.6,8.9,7.0,24.2,7.5,21.0,13.5,40.1,43.8,128.4,26.8,68.4,53.2,41.3,130.7,83.6,38.4,1=3=6
20240611MYJ12,20240611,1,1,0,0,0,0,3.8,7.1,8.2,13.4,6.1,6.9,10.0,13.5,15.0,19.4,56.6,70.8,81.0,42.3,108.1,115.1,79.8,103.9,81.0,44.4,1=2=3
20240611SME01,20240611,1,1,1,0,0,0,3.1,7.4,29.3,8.1,6.4,23.2,5.4,38.2,13.9,51.6,24.0,79.3,23.2,116.1,24.4,108.4,85.5,27.1,77.4,90.3,1=2=5
20240611SME02,20240611,1,1,0,0,0,0,9.2,4.1,4.5,8.4,14.6,15.9,45.3,11.4,23.1,20.4,25.9,33.0,87.6,13.0,23.7,22.6,56.4,149.4,110.4,28.2,1=2=6
20240611SME03,20240611,1,0,0,1,1,0,8.3,13.4,7.5,32.0,13.3,5.7,23.9,9.4,37.5,13.9,28.5,14.6,16.5,17.4,43.8,23.9,17.4,50.0,15.8,19.0,1=4=5
20240611SME04,20240611,1,0,1,0,1,0,9.5,19.1,9.7,54.0,10.7,3.2,24.2,9.0,30.8,18.5,34.4,17.4,72.0,33.6,65.8,35.6,10.6,42.6,13.8,19.0,1=3=4
20240611SME05,20240611,1,1,0,0,0,0,3.5,3.9,13.8,7.0,7.7,17.2,8.9,21.5,11.6,29.4,70.4,109.5,78.8,93.8,59.7,112.6,115.9,77.3,103.7,70.4,1=2=3
20240611SME06,20240611,1,0,1,1,0,1,11.7,20.8,19.6,59.6,3.2,7.4,17.3,10.8,24.3,30.4,30.7,52.1,83.8,66.5,68.0,123.1,6.7,9.3,18.6,17.3,1=3=5
20240611SME07,20240611,1,1,1,1,0,0,10.6,3.3,35.1,62.6,2.5,35.8,83.5,9.3,19.0,121.0,10.3,42.2,140.4,19.5,45.0,219.3,23.2,57.5,195.0,41.2,1=3=4
20240611SME08,20240611,1,1,1,0,0,0,2.2,12.3,20.7,49.5,11.1,11.9,42.7,62.2,108.9,84.9,5.3,7.9,24.5,30.6,74.2,97.5,21.9,44.1,66.0,110.8,2=3=5
20240611SME09,20240611,1,1,1,1,0,0,2.6,4.1,6.6,37.1,12.2,23.1,77.8,19.1,100.9,92.3,13.7,9.8,47.5,14.0,77.8,65.2,57.1,230.7,165.6,81.7,1=2=3
20240611SME10,20240611,1,1,0,0,0,0,6.0,14.8,1.9,17.9,28.3,7.3,53.4,17.5,50.7,12.3,75.5,21.8,137.3,37.9,128.5,21.2,111.8,215.7,85.0,85.0,1=2=5
20240611SME11,20240611,1,1,1,0,0,1,3.6,7.8,31.1,7.4,5.3,20.5,4.6,25.8,10.7,36.4,39.2,82.3,32.1,116.5,65.7,129.4,76.2,42.4,92.6,70.9,1=4=6
20240611SME12,20240611,1,1,0,0,1,0,5.1,2.9,7.7,52.0,5.4,10.2,62.0,4.9,46.0,71.0,58.2,76.6,380.1,35.9,143.3,218.5,47.5,242.8,282.0,68.8,1=2=4
20240611TDA01,20240611,1,1,0,0,0,0,7.6,3.7,12.7,8.2,14.2,15.6,22.0,11.2,11.1,31.9,23.8,56.2,36.3,21.2,8.5,64.5,51.2,43.5,112.4,35.2,1=2=4
20240611TDA02,20240611,1,0,0,1,0,0,16.5,3.9,13.1,31.4,12.5,32.5,69.2,4.2,17.7,30.2,29.0,32.2,90.6,7.5,17.1,36.9,30.4,61.4,92.8,9.0,1=3=5
20240611TDA03,20240611,1,1,0,0,1,0,12.5,10.6,3.3,100.2,22.3,11.6,143.8,7.7,91.8,106.6,13.4,6.2,94.5,5.1,132.3,41.3,13.7,122.5,254.4,118.1,2=4=5
20240611TDA04,20240611,1,1,0,0,0,1,6.4,14.4,17.8,5.6,8.9,16.9,3.3,45.8,10.2,20.2,40.9,93.8,19.0,91.7,50.2,98.1,57.0,21.9,37.6,50.2,1=2=3
20240611TDA05,20240611,1,0,0,1,0,0,13.2,8.8,35.5,29.5,3.4,20.5,8.3,11.9,5.3,32.8,34.8,93.2,49.0,65.6,34.5,122.7,29.8,9.2,45.7,21.1,1=3=4
20240611TDA06,20240611,1,1,0,0,1,0,18.1,10.3,6.1,4.9,36.7,28.2,30.0,10.2,13.0,6.4,61.4,43.6,51.7,17.7,22.0,11.8,47.9,72.7,49.7,10.9,2=4=6
20240611TDA07,20240611,1,0,1,0,0,0,4.2,12.7,14.5,38.8,4.0,4.0,17.1,12.2,40.6,37.1,36.3,21.7,93.8,71.8,67.5,198.6,16.0,61.4,55.3,42.7,1=3=5
20240611TDA08,20240611,1,0,1,0,0,0,13.1,31.1,40.8,30.9,6.6,13.2,10.5,31.3,6.8,25.5,24.9,26.1,23.3,50.4,27.8,40.8,9.1,6.4,10.3,14.2,1=2=6
20240611TDA09,20240611,1,1,1,1,0,0,3.8,3.9,55.6,16.1,3.9,45.8,13.7,74.5,12.1,84.5,9.4,107.2,30.7,112.7,23.5,191.2,78.5,21.4,169.1,89.7,2=3=4
20240611TDA10,20240611,1,1,0,0,0,0,5.7,3.8,8.4,7.6,10.9,21.7,27.3,17.1,12.6,28.8,16.5,51.7,47.2,28.3,22.0,57.1,30.7,39.7,95.8,28.5,1=2=6
20240611TDA11,20240611,1,1,1,0,0,0,2.4,4.9,19.4,9.0,7.7,26.3,10.9,27.2,10.8,36.3,30.2,71.5,49.6,102.6,48.6,196.7,96.3,56.8,236.0,80.0,1=3=4
20240611TDA12,20240611,1,1,1,1,0,0,5.8,6.9,6.2,30.8,10.4,10.3,29.8,10.2,39.7,35.8,9.5,11.4,46.0,10.8,51.6,43.5,18.8,70.3,84.4,43.0,1=2=4
20240611TKN01,20240611,1,1,1,0,0,0,4.5,6.5,7.9,33.4,4.9,5.3,21.5,15.6,53.7,26.5,15.9,25.3,135.9,55.0,105.0,110.0,21.7,82.5,50.2,41.2,1=3=5
20240611TKN02,20240611,1,1,0,1,0,1,8.0,2.8,73.9,25.4,8.4,163.7,57.3,40.2,10.8,71.6,5.2,71.6,19.1,33.7,6.8,76.4,152.8,17.7,229.2,46.7,1=2=3
20240611TKN03,20240611,0,1,0,1,0,0,3.9,3.7,5.7,24.5,14.4,16.6,47.1,16.2,52.5,62.4,13.8,19.9,59.2,12.6,43.5,45.2,33.4,115.5,96.2,26.2,1=3=5
20240611TKN04,20240611,0,1,1,1,0,0,12.7,19.5,43.9,63.5,10.7,14.4,24.5,27.5,36.2,120.3,5.8,12.0,19.3,25.1,26.2,108.8,4.1,7.0,18.7,16.4,3=4=5
20240611TKN05,20240611,1,1,0,1,1,0,10.7,6.2,5.1,27.6,36.8,12.2,48.0,7.2,78.9,16.4,26.9,17.0,78.9,5.6,51.4,13.7,32.9,122.7,40.9,15.1,2=4=5
20240611TKN06,20240611,1,1,1,0,1,0,6.3,18.7,7.6,42.1,9.7,3.7,27.8,20.6,77.8,24.6,22.8,9.4,41.6,25.1,70.6,35.7,12.2,42.1,12.7,45.3,1=2=3
20240611TKN07,20240611,1,1,1,1,0,0,5.7,5.4,28.8,161.4,8.7,35.8,115.2,17.5,80.7,230.5,3.7,20.6,67.2,4.1,29.8,146.7,16.4,52.0,230.5,57.6,3=5=6
20240611TKN08,20240611,1,1,1,1,1,0,7.0,4.6,3.7,56.9,19.5,10.0,140.1,7.2,107.2,79.2,20.0,12.0,91.1,7.1,86.7,72.9,31.4,140.1,101.2,56.9,1=2=5
20240611TKN09,20240611,1,1,1,1,0,0,4.6,2.8,8.3,64.9,4.6,15.7,148.3,6.3,76.9,109.3,17.3,56.1,259.6,29.2,83.1,230.8,46.1,207.7,129.8,138.5,1=3=5
20240611TKN10,20240611,1,1,0,1,0,0,4.0,4.1,16.9,14.9,7.2,23.1,22.7,27.3,20.5,78.5,8.7,43.2,28.5,37.5,12.5,76.2,48.9,23.3,86.4,29.4,1=2=4
20240611TKN11,20240611,1,1,0,0,1,0,2.5,10.8,5.6,12.1,13.8,5.8,20.2,18.9,51.0,18.6,67.1,22.1,57.3,71.2,111.9,53.4,94.0,90.4,51.0,138.2,1=3=5
20240611TKN12,20240611,1,0,1,0,0,0,5.4,8.0,7.4,12.9,6.4,5.7,9.0,12.5,13.1,14.0,48.6,63.0,86.0,104.0,86.0,82.8,55.9,77.1,58.0,66.7,1=3=4
20240611TKY01,20240611,1,0,0,0,0,0,7.5,4.9,6.5,31.7,6.7,8.4,31.7,4.3,14.5,14.9,74.3,101.6,191.5,60.0,105.9,118.5,49.3,90.5,97.6,23.6,1=2=5
20240611TKY02,20240611,1,0,1,1,0,0,3.7,12.9,19.3,126.2,3.2,4.5,32.8,14.8,66.3,130.4,21.4,30.3,102.9,55.8,177.8,260.8,9.8,36.2,48.3,63.1,1=3=5
20240611TKY03,20240611,1,1,0,1,0,0,13.0,3.8,14.6,25.6,5.2,25.4,28.8,4.0,6.4,30.7,53.8,172.9,207.4,29.0,36.0,115.2,48.2,56.8,276.6,20.0,1=3=4
20240611TKY04,20240611,1,1,0,0,0,0,3.5,3.0,3.8,21.7,15.3,19.7,48.7,11.9,59.8,27.7,40.6,54.1,170.7,25.6,89.8,50.2,97.5,200.8,310.3,68.2,1=2=4
